provider,provider_url,feed_type,feed_url,feed_id,resume_cursor
100% TO THE TOP CIC,https://topcic.bookteq.com/api/open-active/,facilityUse,https://topcic.bookteq.com/api/open-active/facility-uses,100-to-the-top-cic--facilityuse,https://topcic.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769005762689790&afterId=c696fe58-bb01-4988-bf90-b1b518ba5952
Actihire,https://actihire.bookteq.com/api/open-active/,facilityUse,https://actihire.bookteq.com/api/open-active/facility-uses,actihire--facilityuse,https://actihire.bookteq.com/api/open-active/facility-uses?afterTimestamp=1784003913543217&afterId=37dbd8de-42d7-4c98-83d5-5b44b12f79cf
Active Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,active-hartlepool--facilityuse,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses?afterTimestamp=5720720&afterId=HSACT0004
Active Leeds,https://activeleeds-oa.leisurecloud.net/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,active-leeds--facilityuse,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses?afterTimestamp=117885627&afterId=MIACT00011
Active Luton,https://activeluton-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://activeluton-openactive.legendonlineservices.co.uk/api/facility-uses,active-luton--facilityuse,
Active Tameside,https://tameside-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://tameside-openactive.legendonlineservices.co.uk/api/facility-uses,active-tameside--facilityuse,https://tameside-openactive.legendonlineservices.co.uk/api/facility-uses?afterTimestamp=3372307&afterId=703
activenottingham,https://activenottingham-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://activenottingham-openactive.legendonlineservices.co.uk/api/facility-uses,activenottingham--facilityuse,
aliveleisure,https://aliveleisure-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://aliveleisure-openactive.legendonlineservices.co.uk/api/facility-uses,aliveleisure--facilityuse,
ANGUSalive,https://angusalive-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://angusalive-openactive.legendonlineservices.co.uk/api/facility-uses,angusalive--facilityuse,https://angusalive-openactive.legendonlineservices.co.uk/api/facility-uses?afterTimestamp=0&afterId=0
Appleby Frodingham Sports Club,https://appleby.bookteq.com/api/open-active/,facilityUse,https://appleby.bookteq.com/api/open-active/facility-uses,appleby-frodingham-sports-club--facilityuse,https://appleby.bookteq.com/api/open-active/facility-uses?afterTimestamp=1784109047249267&afterId=504ac51c-759a-4a52-8e9c-6a636bcb4434
Ashmole Trust,https://ashmoletrust.bookteq.com/api/open-active/,facilityUse,https://ashmoletrust.bookteq.com/api/open-active/facility-uses,ashmole-trust--facilityuse,https://ashmoletrust.bookteq.com/api/open-active/facility-uses?afterTimestamp=1783936602069488&afterId=da7d6be2-c2b3-408d-9bda-9b06bdbfa2df
Awesome CIC,https://awesomecic.bookteq.com/api/open-active/,facilityUse,https://awesomecic.bookteq.com/api/open-active/facility-uses,awesome-cic--facilityuse,https://awesomecic.bookteq.com/api/open-active/facility-uses?afterTimestamp=1781772002885881&afterId=3ec89b06-c46b-4ca9-b05a-187e9645de2f
Bangor City Stadium,https://bangorcitystadium.bookteq.com/api/open-active/,facilityUse,https://bangorcitystadium.bookteq.com/api/open-active/facility-uses,bangor-city-stadium--facilityuse,https://bangorcitystadium.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769004698070400&afterId=12da60eb-84a8-4478-bf4c-3c5d0aad9a8d
Barrow Park Leisure Centre,https://barrowcouncil-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://barrowcouncil-openactive.legendonlineservices.co.uk/api/facility-uses,barrow-park-leisure-centre--facilityuse,https://barrowcouncil-openactive.legendonlineservices.co.uk/api/facility-uses?afterTimestamp=717134&afterId=132
Basingstoke Wellbeing,https://basingstokewellbeing.bookteq.com/api/open-active/,facilityUse,https://basingstokewellbeing.bookteq.com/api/open-active/facility-uses,basingstoke-wellbeing--facilityuse,https://basingstokewellbeing.bookteq.com/api/open-active/facility-uses?afterTimestamp=1739446860985286&afterId=101318ac-aa3f-4e72-963c-65a6625469bb
Be Well - London Borough of Tower Hamlets,https://towerhamletscouncil.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/TowerHamletsCouncil-live-facility-uses,be-well-london-borough-of-tower-hamlets--facilityuse,https://opendata.leisurecloud.live/api/feeds/TowerHamletsCouncil-live-facility-uses?afterTimestamp=149980049&afterId=JACT000030
Bedford Town Football Club,https://bedfordtownfootballclub.bookteq.com/api/open-active/,facilityUse,https://bedfordtownfootballclub.bookteq.com/api/open-active/facility-uses,bedford-town-football-club--facilityuse,https://bedfordtownfootballclub.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769004773837254&afterId=5d80ca27-573e-40e8-87c4-44584c366f77
Better,https://better-admin.org.uk/api/openactive/better,facilityUse,https://better-admin.org.uk/api/openactive/better/facility-uses,better--facilityuse,https://better-admin.org.uk/api/openactive/better/facility-uses?afterTimestamp=1782458715&afterId=activity_recurrence_group%3A8257
Birmingham City Council,https://bccleisure.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-facility-uses,birmingham-city-council--facilityuse,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-facility-uses?afterTimestamp=33543621&afterId=SHACT00102
Bishop Challoner Sports Centre,https://bishopchallonersportscentre.bookteq.com/api/open-active/,facilityUse,https://bishopchallonersportscentre.bookteq.com/api/open-active/facility-uses,bishop-challoner-sports-centre--facilityuse,https://bishopchallonersportscentre.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769004784495369&afterId=a912da12-078b-406a-83d5-514fce955f7a
Blue Flames Sporting Club Limited,https://blueflamessportingclublimited.bookteq.com/api/open-active/,facilityUse,https://blueflamessportingclublimited.bookteq.com/api/open-active/facility-uses,blue-flames-sporting-club-limited--facilityuse,https://blueflamessportingclublimited.bookteq.com/api/open-active/facility-uses?afterTimestamp=1769786965742897&afterId=d267686c-3d6e-4120-a22b-6ce5a15d4513
Bolder Academy,https://bolderacademy.bookteq.com/api/open-active/,facilityUse,https://bolderacademy.bookteq.com/api/open-active/facility-uses,bolder-academy--facilityuse,https://bolderacademy.bookteq.com/api/open-active/facility-uses?afterTimestamp=1784447959900356&afterId=ebed158d-665a-442c-8066-5af0ccd2817a
boltonarena,https://boltonarena-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://boltonarena-openactive.legendonlineservices.co.uk/api/facility-uses,boltonarena--facilityuse,
Brea Avalon LLP,https://ajnstadium.bookteq.com/api/open-active/,facilityUse,https://ajnstadium.bookteq.com/api/open-active/facility-uses,brea-avalon-llp--facilityuse,https://ajnstadium.bookteq.com/api/open-active/facility-uses?afterTimestamp=1772211709134942&afterId=4eb7d255-7665-446f-b00f-708bedaeb91f
bridportleisure,https://bridportleisure-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://bridportleisure-openactive.legendonlineservices.co.uk/api/facility-uses,bridportleisure--facilityuse,
Brimhams Active,https://brimhamsactive.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-facility-uses,brimhams-active--facilityuse,https://opendata.leisurecloud.live/api/feeds/BrimhamsActive-live-facility-uses?afterTimestamp=86548230&afterId=NPACT00103
Broughton Town Council ,https://broughtontowncouncil.bookteq.com/api/open-active/,facilityUse,https://broughtontowncouncil.bookteq.com/api/open-active/facility-uses,broughton-town-council--facilityuse,https://broughtontowncouncil.bookteq.com/api/open-active/facility-uses?afterTimestamp=1783955540855463&afterId=3a1ffe5c-0569-4080-a31a-c8d56753fbb9
Brynteg School,https://bryntegschool.bookteq.com/api/open-active/,facilityUse,https://bryntegschool.bookteq.com/api/open-active/facility-uses,brynteg-school--facilityuse,https://bryntegschool.bookteq.com/api/open-active/facility-uses?afterTimestamp=1781000523871009&afterId=76aabd46-46ca-4a06-b09f-5b90e1229c3c
BwD Leisure,https://blackburnwithdarwen-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://blackburnwithdarwen-openactive.legendonlineservices.co.uk/api/facility-uses,bwd-leisure--facilityuse,
Castlepoint,https://castlepoint.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-facility-uses,castlepoint--facilityuse,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-facility-uses?afterTimestamp=80368538&afterId=WMGENIRE1
celticleisure,https://celticleisure-openactive.legendonlineservices.co.uk/openactive/,facilityUse,https://celticleisure-openactive.legendonlineservices.co.uk/api/facility-uses,celticleisure--facilityuse,
Chauncy School,https://chauncyschool.bookteq.com/api/open-active/,facilityUse,https://chauncyschool.bookteq.com/api/open-active/facility-uses,chauncy-school--facilityuse,https://chauncyschool.bookteq.com/api/open-active/facility-uses?afterTimestamp=1772108108399389&afterId=643c7a81-f208-4c34-ae61-aea63f16fbe7
Chelmsford City Sports,https://chelmsfordcitysports.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-facility-uses,chelmsford-city-sports--facilityuse,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-facility-uses?afterTimestamp=44726764&afterId=D1TO1SESSION
Chelmsford City Sports,https://chelmsfordcitysports.leisurecloud.net/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-facility-uses,chelmsford-city-sports--facilityuse,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-facility-uses?afterTimestamp=44726764&afterId=D1TO1SESSION
Colchester Leisure World,https://leisureworldmembership.leisurecloud.net/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/ColchesterLeisureWorld-live-facility-uses,colchester-leisure-world--facilityuse,https://opendata.leisurecloud.live/api/feeds/ColchesterLeisureWorld-live-facility-uses?afterTimestamp=88186734&afterId=CACTINTROPT30
Conwy,https://conwy.gs-signature.cloud/OpenActive/,facilityUse,https://opendata.leisurecloud.live/api/feeds/Conwy-live-facility-uses,conwy--facilityuse,https://opendata.leisurecloud.live/api/feeds/Conwy-live-facility-uses?afterTimestamp=35550199&afterId=BIHSQ01
Coram's Fields,https://coramsfields.bookteq.com/api/open-active/,facilityUse,https://coramsfields.bookteq.com/api/open-active/facility-uses,coram-s-fields--facilityuse,https://coramsfieldsindoorspaces.bookteq.com/api/open-active/facility-uses?afterTimestamp=1781092488946393&afterId=748b7aa4-b315-498d-a128-70cf99d55763
