platform,publisher,kind,field,presence_rate,n_payloads,n_items,feed_url,page
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,activity,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,category,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,organizer,0.662,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,offers,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,location,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,name,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,description,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,eventSchedule,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,ageRange,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,genderRestriction,0.662,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,level,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,url,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,attendeeInstructions,0.89,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,superEvent,0.338,500,500,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,0
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,activity,0.0,234,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,1
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,category,1.0,234,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,1
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,organizer,1.0,234,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,1
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,offers,0.9872,234,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,1
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,location,1.0,234,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,1
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,name,1.0,234,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,1
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,description,0.0,234,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,1
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,eventSchedule,1.0,234,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,1
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,ageRange,0.0,234,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,1
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,genderRestriction,0.9872,234,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,1
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,level,0.0,234,499,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,1
