level,url,status,seconds,platform,publisher,kind,declared
collection,https://openactive.io/data-catalogs/data-catalog-collection.jsonld,COMPLETE,0.23,,,,
catalogue,https://opendata.leisurecloud.live/api/datacatalog,COMPLETE,0.14,,,,31
catalogue,https://openactivedatacatalog.legendonlineservices.co.uk/api/DataCatalog,COMPLETE,0.16,,,,31
catalogue,https://openactive.io/data-catalogs/singular.jsonld,COMPLETE,0.18,,,,23
catalogue,https://app.bookteq.com/api/openactive/catalogue,COMPLETE,0.5,,,,88
site,https://activehartlepool.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Active Hartlepool,,5
feed,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-course-instance,COMPLETE,0.1,opendata.leisurecloud.live,Active Hartlepool,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.14,opendata.leisurecloud.live,Active Hartlepool,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series,COMPLETE,0.13,opendata.leisurecloud.live,Active Hartlepool,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-session-series?afterTimestamp=5936069&afterId=4H0630BSLSM0726,COMPLETE,0.1,opendata.leisurecloud.live,Active Hartlepool,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions,COMPLETE,0.1,opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-scheduled-sessions?afterTimestamp=5951270&afterId=00000000000050054602,COMPLETE,0.1,opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses,COMPLETE,0.09,opendata.leisurecloud.live,Active Hartlepool,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-facility-uses?afterTimestamp=5720720&afterId=HSACT0004,COMPLETE,0.11,opendata.leisurecloud.live,Active Hartlepool,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-slots,COMPLETE,0.12,opendata.leisurecloud.live,Active Hartlepool,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/HartlepoolBoroughCouncil-live-slots?afterTimestamp=0&afterId=,COMPLETE,0.12,opendata.leisurecloud.live,Active Hartlepool,Slot,
site,https://activeleeds-oa.leisurecloud.net/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Active Leeds,,5
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-course-instance,COMPLETE,0.12,opendata.leisurecloud.live,Active Leeds,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.12,opendata.leisurecloud.live,Active Leeds,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series,COMPLETE,0.11,opendata.leisurecloud.live,Active Leeds,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-session-series?afterTimestamp=114168827&afterId=GA2CLPI18200222,COMPLETE,0.1,opendata.leisurecloud.live,Active Leeds,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,COMPLETE,0.11,opendata.leisurecloud.live,Active Leeds,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions?afterTimestamp=118538982&afterId=00000000000010099869,COMPLETE,0.09,opendata.leisurecloud.live,Active Leeds,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,COMPLETE,0.09,opendata.leisurecloud.live,Active Leeds,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses?afterTimestamp=117885627&afterId=MIACT00011,COMPLETE,0.13,opendata.leisurecloud.live,Active Leeds,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,COMPLETE,0.12,opendata.leisurecloud.live,Active Leeds,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots?afterTimestamp=117723116&afterId=ARACT00103_2026-07-16T13-00-00,COMPLETE,0.09,opendata.leisurecloud.live,Active Leeds,Slot,
site,https://bccleisure.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Birmingham City Council,,5
feed,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-course-instance,COMPLETE,0.11,opendata.leisurecloud.live,Birmingham City Council,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.1,opendata.leisurecloud.live,Birmingham City Council,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-session-series,COMPLETE,0.11,opendata.leisurecloud.live,Birmingham City Council,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-session-series?afterTimestamp=41801938&afterId=KS2SWIM19450626,COMPLETE,0.11,opendata.leisurecloud.live,Birmingham City Council,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/BirminghamCityCouncil-live-scheduled-sessions,COMPLETE,0.09,opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,
