platform,publisher,kind,field,presence_rate,n_items
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,activity,0.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,category,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,organizer,0.662,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,offers,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,location,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,name,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,description,0.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,eventSchedule,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,ageRange,0.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,genderRestriction,0.662,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,level,0.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,url,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,attendeeInstructions,0.886,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,superEvent,0.338,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,activity,0.0,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,category,1.0,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,organizer,1.0,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,offers,0.9876,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,location,1.0,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,name,1.0,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,description,0.0,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,eventSchedule,1.0,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,ageRange,0.0,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,genderRestriction,0.9876,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,level,0.0,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,url,1.0,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,attendeeInstructions,0.6736,499
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,superEvent,0.0,499
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,activity,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,category,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,organizer,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,offers,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,location,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,name,0.0,500
