catalogue,site,publisher,licence,status
opendata.leisurecloud.live,https://activehartlepool.gs-signature.cloud/OpenActive/,Active Hartlepool,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://activeleeds-oa.leisurecloud.net/OpenActive/,Active Leeds,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://bccleisure.gs-signature.cloud/OpenActive/,Birmingham City Council,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://bewellwigan.gs-signature.cloud/OpenActive/,Wigan Leisure and Culture Trust,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://brimhamsactive.gs-signature.cloud/OpenActive/,Brimhams Active,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://castlepoint.gs-signature.cloud/OpenActive/,Castlepoint,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://chelmsfordcitysports.gs-signature.cloud/OpenActive/,Chelmsford City Sports,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://chelmsfordcitysports.leisurecloud.net/OpenActive/,Chelmsford City Sports,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://connect.pembrokeshire.gov.uk/OpenActive/,Pembrokeshire Leisure,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://conwy.gs-signature.cloud/OpenActive/,Conwy,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://data.everyoneactive.com/OpenActive/,Everyone Active,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://lamptonleisure.gs-signature.cloud/OpenActive/,Lampton Leisure,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://ledleisure.gs-signature.cloud/OpenActive/,LED Community Leisure Ltd,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://leisuresk.leisurecloud.net/OpenActive/,Leisure SK,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://leisureworldmembership.leisurecloud.net/OpenActive/,Colchester Leisure World,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://lleisure.gs-signature.cloud/OpenActive/,Liberty Leisure,https://creativecommons.org/licenses/by/4.0/,COMPLETE
opendata.leisurecloud.live,https://ocll.gs-signature.cloud/OpenActive/,Oldham Community Leisure,https://creativecommons.org/licenses/by/4.0/,COMPLETE
