publisher,field,verdict,n
Active_Hartlepool,activity,SOURCE_ABSENT,901
Active_Hartlepool,activity,UNRESOLVED,2
Active_Hartlepool,ageRange,SOURCE_ABSENT,901
Active_Hartlepool,ageRange,UNRESOLVED,2
Active_Hartlepool,attendeeInstructions,INHERITABLE,697
Active_Hartlepool,attendeeInstructions,SOURCE_ABSENT,204
Active_Hartlepool,attendeeInstructions,UNRESOLVED,2
Active_Hartlepool,category,INHERITABLE,901
Active_Hartlepool,category,UNRESOLVED,2
Active_Hartlepool,description,SOURCE_ABSENT,901
Active_Hartlepool,description,UNRESOLVED,2
Active_Hartlepool,eventSchedule,INHERITABLE,901
Active_Hartlepool,eventSchedule,UNRESOLVED,2
Active_Hartlepool,genderRestriction,INHERITABLE,621
Active_Hartlepool,genderRestriction,SOURCE_ABSENT,280
Active_Hartlepool,genderRestriction,UNRESOLVED,2
Active_Hartlepool,level,SOURCE_ABSENT,901
Active_Hartlepool,level,UNRESOLVED,2
Active_Hartlepool,location,INHERITABLE,901
Active_Hartlepool,location,UNRESOLVED,2
Active_Hartlepool,name,INHERITABLE,901
Active_Hartlepool,name,UNRESOLVED,2
Active_Hartlepool,offers,INHERITABLE,901
Active_Hartlepool,offers,UNRESOLVED,2
Active_Hartlepool,organizer,INHERITABLE,621
Active_Hartlepool,organizer,SOURCE_ABSENT,280
Active_Hartlepool,organizer,UNRESOLVED,2
Active_Hartlepool,url,INHERITABLE,901
Active_Hartlepool,url,UNRESOLVED,2
Active_Leeds,activity,SOURCE_ABSENT,563
Active_Leeds,activity,UNRESOLVED,5
Active_Leeds,ageRange,SOURCE_ABSENT,563
Active_Leeds,ageRange,UNRESOLVED,5
Active_Leeds,attendeeInstructions,INHERITABLE,485
Active_Leeds,attendeeInstructions,SOURCE_ABSENT,78
Active_Leeds,attendeeInstructions,UNRESOLVED,5
Active_Leeds,category,INHERITABLE,563
Active_Leeds,category,UNRESOLVED,5
Active_Leeds,description,SOURCE_ABSENT,563
Active_Leeds,description,UNRESOLVED,5
Active_Leeds,eventSchedule,INHERITABLE,563
Active_Leeds,eventSchedule,UNRESOLVED,5
Active_Leeds,genderRestriction,INHERITABLE,563
Active_Leeds,genderRestriction,UNRESOLVED,5
Active_Leeds,level,SOURCE_ABSENT,563
Active_Leeds,level,UNRESOLVED,5
Active_Leeds,location,INHERITABLE,563
Active_Leeds,location,UNRESOLVED,5
Active_Leeds,name,INHERITABLE,563
Active_Leeds,name,UNRESOLVED,5
Active_Leeds,offers,INHERITABLE,562
Active_Leeds,offers,SOURCE_ABSENT,1
Active_Leeds,offers,UNRESOLVED,5
Active_Leeds,organizer,INHERITABLE,563
Active_Leeds,organizer,UNRESOLVED,5
Active_Leeds,url,INHERITABLE,563
Active_Leeds,url,UNRESOLVED,5
Be_Well_London_Borough_of_Tower_Hamlets,activity,SOURCE_ABSENT,127
Be_Well_London_Borough_of_Tower_Hamlets,ageRange,SOURCE_ABSENT,127
